"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 14 13:19:24 UTC 2026","Mon Sep 14 13:19:25 UTC 2026","1008","","org.example.RegisztracioTest","","org.example.RegisztracioTest","jelszoMezoLathato","jelszoMezoLathato()",""
"passed","Mon Sep 14 13:19:27 UTC 2026","Mon Sep 14 13:19:29 UTC 2026","1279","","org.example.RegisztracioTest","","org.example.RegisztracioTest","tulRovidJelszoHibatAd","tulRovidJelszoHibatAd()",""
"passed","Mon Sep 14 13:19:55 UTC 2026","Mon Sep 14 13:19:56 UTC 2026","1500","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","nyelvvaltoLatszik","MT-LOGIN-003 · LOGIN-REQ-003 – a nyelvváltó látszik",""
"passed","Mon Sep 14 13:20:03 UTC 2026","Mon Sep 14 13:20:05 UTC 2026","1556","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","jelszoMegjelenitesGombLathato","MT-LOGIN-005 · LOGIN-REQ-005 – a jelszó-megjelenítés gomb látható",""
"passed","Mon Sep 14 13:20:19 UTC 2026","Mon Sep 14 13:20:21 UTC 2026","1592","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","emailMezobeLehetIrni","MT-LOGIN-002 · LOGIN-REQ-002 – az e-mail mezőbe lehet írni",""
"passed","Mon Sep 14 13:19:58 UTC 2026","Mon Sep 14 13:20:00 UTC 2026","1597","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","jelszoMezobeLehetIrni","MT-LOGIN-002 · LOGIN-REQ-002 – a jelszó mezőbe lehet írni",""
"passed","Mon Sep 14 13:20:06 UTC 2026","Mon Sep 14 13:20:10 UTC 2026","3332","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","sikeresBelepesAtviszAVezerlopultra","MT-LOGIN-011 · LOGIN-REQ-010 – sikeres belépés átvisz a vezérlőpultra",""
"passed","Mon Sep 14 13:20:05 UTC 2026","Mon Sep 14 13:20:06 UTC 2026","1724","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","regisztracioLinkreKattintvaMegnyilikAzOldal","MT-LOGIN-001 · LOGIN-REQ-001 – a Regisztráció linkre kattintva megnyílik az oldal",""
"passed","Mon Sep 14 13:19:25 UTC 2026","Mon Sep 14 13:19:26 UTC 2026","1328","","org.example.RegisztracioTest","","org.example.RegisztracioTest","ketKulonbozoJelszoHibatAd","ketKulonbozoJelszoHibatAd()",""
"passed","Mon Sep 14 13:20:16 UTC 2026","Mon Sep 14 13:20:18 UTC 2026","1658","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","szemGombMegjelenitiAJelszot","MT-LOGIN-005 · LOGIN-REQ-005 – a szem gomb megjeleníti a jelszót",""
"passed","Mon Sep 14 13:20:10 UTC 2026","Mon Sep 14 13:20:11 UTC 2026","1576","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","demoGombKattinthato","MT-DEMO-001 · DEMO-REQ-001 – nyilatkozat nélkül a demó figyelmeztet",""
"passed","Mon Sep 14 13:19:20 UTC 2026","Mon Sep 14 13:19:21 UTC 2026","977","","org.example.RegisztracioTest","","org.example.RegisztracioTest","szervezetNeveMezoLathato","szervezetNeveMezoLathato()",""
